angle,x,y
-121.55,297.9153908977776,346.60543748706067
-121.55,295.83078179555525,343.21087497412134
-121.55,293.7461726933329,339.816312461182
-121.55,291.6615635911105,336.4217499482427
-121.55,289.57695448888813,333.02718743530335
-121.55,287.49234538666576,329.632624922364
-121.55,285.4077362844434,326.2380624094247
-121.55,283.323127182221,322.84349989648535
-121.55,281.23851807999864,319.448937383546
-121.55,279.15390897777627,316.0543748706067
-121.55,277.0692998755539,312.65981235766736
-121.55,274.9846907733315,309.26524984472803
-121.55,272.90008167110915,305.8706873317887
-121.55,270.8154725688868,302.47612481884937
-121.55,268.7308634666644,299.08156230591004
-121.55,266.64625436444203,295.6869997929707
-121.55,264.56164526221966,292.2924372800314
-121.55,262.4770361599973,288.89787476709205
-121.55,260.3924270577749,285.5033122541527
-121.55,258.30781795555254,282.1087497412134
-121.55,256.22320885333016,278.71418722827406
-121.55,254.1385997511078,275.3196247153347
-121.55,252.05399064888542,271.9250622023954
-121.55,249.96938154666304,268.53049968945606
-121.55,247.88477244444067,265.13593717651673
-121.55,245.8001633422183,261.7413746635774
-121.55,243.71555423999592,258.3468121506381
-121.55,241.63094513777355,254.9522496376987
-121.55,239.54633603555118,251.55768712475935
-121.55,237.4617269333288,248.16312461182
-121.55,235.37711783110643,244.76856209888064
-121.55,233.29250872888406,241.37399958594128
-121.55,231.20789962666169,237.97943707300192
-121.55,229.1232905244393,234.58487456006256
-121.55,227.03868142221694,231.1903120471232
-121.55,224.95407231999457,227.79574953418384
-121.55,222.8694632177722,224.40118702124448
-121.55,220.78485411554982,221.00662450830512
-121.55,218.70024501332745,217.61206199536576
-121.55,216.61563591110507,214.2174994824264
-121.55,214.5310268088827,210.82293696948705
-121.55,212.44641770666033,207.4283744565477
-121.55,210.36180860443795,204.03381194360833
-121.55,208.27719950221558,200.63924943066897
-121.55,206.1925903999932,197.2446869177296
-121.55,204.10798129777083,193.85012440479025
-121.55,202.02337219554846,190.4555618918509
-121.55,199.9387630933261,187.06099937891153
-121.55,197.85415399110371,183.66643686597217
-121.55,195.76954488888134,180.2718743530328
-121.55,193.68493578665897,176.87731184009345
-121.55,191.6003266844366,173.4827493271541
-121.55,189.51571758221422,170.08818681421474
-121.55,187.43110847999185,166.69362430127538
-121.55,185.34649937776948,163.29906178833602
-121.55,183.2618902755471,159.90449927539666
-121.55,181.17728117332473,156.5099367624573
-121.55,179.09267207110236,153.11537424951794
-121.55,177.00806296887998,149.72081173657858
-121.55,174.9234538666576,146.32624922363922
-121.55,172.83884476443524,142.93168671069986
-121.55,170.75423566221286,139.5371241977605
-121.55,168.6696265599905,136.14256168482115
-121.55,166.58501745776812,132.7479991718818
-121.55,164.50040835554574,129.35343665894243
-121.55,162.41579925332337,125.95887414600307
-121.55,160.331190151101,122.56431163306371
-121.55,158.24658104887862,119.16974912012435
-121.55,156.16197194665625,115.77518660718499
-121.55,154.07736284443388,112.38062409424563
-121.55,151.9927537422115,108.98606158130627
-121.55,149.90814463998913,105.59149906836691
-121.55,147.82353553776676,102.19693655542756
-121.55,145.73892643554439,98.8023740424882
-121.55,143.654317333322,95.40781152954884
-121.55,141.56970823109964,92.01324901660948
-121.55,139.48509912887727,88.61868650367012
-121.55,137.4004900266549,85.22412399073076
-121.55,135.31588092443252,81.8295614777914
-121.55,133.23127182221015,78.43499896485204
-121.55,131.14666271998777,75.04043645191268
-121.55,129.0620536177654,71.64587393897332
121.55,126.97744451554304,75.04043645191268
121.55,124.89283541332068,78.43499896485204
121.55,122.80822631109832,81.8295614777914
121.55,120.72361720887596,85.22412399073076
121.55,118.6390081066536,88.61868650367012
121.55,116.55439900443125,92.01324901660948
121.55,114.46978990220889,95.40781152954884
121.55,112.38518079998653,98.8023740424882
121.55,110.30057169776417,102.19693655542756
121.55,108.21596259554181,105.59149906836691
121.55,106.13135349331945,108.98606158130627
121.55,104.04674439109709,112.38062409424563
121.55,101.96213528887473,115.77518660718499
121.55,99.87752618665237,119.16974912012435
121.55,97.79291708443002,122.56431163306371
121.55,95.70830798220766,125.95887414600307
121.55,93.6236988799853,129.35343665894243
121.55,91.53908977776294,132.7479991718818
121.55,89.45448067554058,136.14256168482115
121.55,87.36987157331822,139.5371241977605
121.55,85.28526247109586,142.93168671069986
121.55,83.2006533688735,146.32624922363922
121.55,81.11604426665114,149.72081173657858
121.55,79.03143516442879,153.11537424951794
121.55,76.94682606220643,156.5099367624573
121.55,74.86221695998407,159.90449927539666
