angle,x,y
90.0,300.0,329.0
90.0,300.0,332.0
90.0,300.0,335.0
90.0,300.0,338.0
90.0,300.0,341.0
90.0,300.0,344.0
90.0,300.0,347.0
90.0,300.0,350.0
90.0,300.0,353.0
90.0,300.0,356.0
90.0,300.0,359.0
90.0,300.0,362.0
90.0,300.0,365.0
90.0,300.0,368.0
90.0,300.0,371.0
90.0,300.0,374.0
90.0,300.0,377.0
90.0,300.0,380.0
90.0,300.0,383.0
90.0,300.0,386.0
90.0,300.0,389.0
90.0,300.0,392.0
90.0,300.0,395.0
90.0,300.0,398.0
-71.56505117707799,300.0,398.0
-71.56505117707799,301.0,395.0
-71.56505117707799,302.0,392.0
-71.56505117707799,303.0,389.0
-71.56505117707799,304.0,386.0
-71.56505117707799,305.0,383.0
-71.56505117707799,306.0,380.0
-71.56505117707799,307.0,377.0
-71.56505117707799,308.0,374.0
-71.56505117707799,309.0,371.0
-71.56505117707799,310.0,368.0
-71.56505117707799,311.0,365.0
-71.56505117707799,312.0,362.0
-71.56505117707799,313.0,359.0
-71.56505117707799,314.0,356.0
-71.56505117707799,315.0,353.0
-71.56505117707799,316.0,350.0
-71.56505117707799,317.0,347.0
-71.56505117707799,318.0,344.0
-71.56505117707799,319.0,341.0
-71.56505117707799,320.0,338.0
-71.56505117707799,321.0,335.0
-71.56505117707799,322.0,332.0
-71.56505117707799,323.0,329.0
-71.56505117707799,324.0,326.0
-71.56505117707799,325.0,323.0
-71.56505117707799,326.0,320.0
-71.56505117707799,327.0,317.0
-71.56505117707799,328.0,314.0
-71.56505117707799,329.0,311.0
-71.56505117707799,330.0,308.0
-71.56505117707799,331.0,305.0
-71.56505117707799,332.0,302.0
-71.56505117707799,333.0,299.0
-71.56505117707799,334.0,296.0
-71.56505117707799,335.0,293.0
-71.56505117707799,336.0,290.0
-71.56505117707799,337.0,287.0
-71.56505117707799,338.0,284.0
-71.56505117707799,339.0,281.0
-71.56505117707799,340.0,278.0
-71.56505117707799,341.0,275.0
